value,value_fixed
femoston,Unknown
leicandipino,Lercanidipine
"sertraline, antidepressiva",sertraline
lometazepan,Lormetazepam
cã¡psulas de aloe vera,Aloe vera
irenor 4mg,Reboxetine
aloe vera,Aloe vera
zetralina,Sertraline
amlodipina,Amlodipine
flouxitine prozac,Fluoxetine
thiroxine,Levothyroxine
betamethasone,betamethasone
clotrimazole,Clotrimazole
hydrocortisone,hydrocortisone
venlafaxina (valdrã¡n),Venlafaxine
pylera,pylera
levensorgestel/ anticonceptiepil,Levonorgestrel
risperidon,Risperidone
trankimazã­n,Alprazolam
"trankimazã­n 0,25 mg",Alprazolam
sildenafilo,sildenafilo
venlafaxina retard cinfamed,Venlafaxine
citolapram,Citalopram
velmetia,velmetia
mirtazepina,mirtazepina
lometazepam,lometazepam
simenet,Sinemet
tegretã³n,Unknown
emtricitabine/tenofovir,Emtricitabine
pantoprozol,Pantoprazole
can't remember. hiatus hernia problem,Unknown
diazepam sttada 5 mg,Diazepam
seretide inhalaciã³n,Seretide
espirivina,Tiotropium bromide
no lo sã©,Unknown
palexia retard,Tapentadol
merforbina,Metformin
trankimacin,Alprazolam
vomovo,Naproxen
alpralozam,xanax
abifyli,Aripiprazole
vitamin d liquid bioemulsion d,vitamins
levotiroxina sã³dica,Levothyroxine
"ribotril 0,5",Rivotril
deprax 100,Trazodone
coripren 20/10,Coripren
nasopreno sã³dico 550 mg,naproxeno sodico
lorazepam 1mg,Lorazepam
quadix,Unknown
dã­azepan,Diazepam
norfenazim,norfenazin
lã­rica,Unknown
sylodix,Silodyx
diverse corticosteroã¯de-smeersels,Topical�corticosteroids
naproxeno sã³dico,naproxeno sodico
tebetane,Tebetane
b12 injecties,vitamin
"humoloog 200, oujeo",Insulin lispro
copodigrel,copodigrel
al)opyrinol,Allopurinol
ezethimide,Ezetimibe
psicotriq,Psicotric
"pastillas para dormir, no recuerdo el nombre, pero he probado mã¡s de una",
ventolã­n,Albuterol
glyceryl trinitrate patch.,Glyceryl trinitrate
omeprazol 20 mg,Omeprazole
ebastel forte flas,ebastel forte
atarã¡x,Unknown
solifenacin,Solifenacin
fosinopril,Fosinopril
metmorfina,Metformin
noctarmid,Lormetazepam
oxybutinine,Oxybutynin
lordazepam,Lorazepam
hemicraneal,Hemicraneal
enalopril,Enalapril
vitaminas pelo y uã±as,vitamins
vandral retard 225 mg,venlafaxine
paroxetia,Paroxetine
hrt evorol conti,Evorel Conti
epamarazole,Esomeprazole
diazepã¡n,Diazepam
antibiã³tico,Antibiotic
escitaloprã¡n,Escitalopram
morfine ret,morphine
prevencor 40mg,prevencor
cymbalta 30mg,Cymbalta
isosorbide mononitraat retard (promocard),Promocard
spiriva respimat + formadual,Tiotropium bromide
omeprazonl,Omeprazole
hidroclorotizisa,Hydrochlorothiazide
lysodran,Mitotane
pritiq,Desvenlafaxine
pristiq desvenlafaxina,Desvenlafaxine
